fu_element 1;fu_A1;fu_Z1;fu_element 2;fu_A2;fu_Z2;fu_element;fu_A;fu_Z;fu_MeV;fi_element;fi_A;fi_Z;element 1;fi_A1;fi_Z1;fi_element 2;fi_A2;fi_Z2;fi_MeV
Ne;22;10;Ge;72;32;Mo;94;42;8,1291;Eu;151;63;O;18;8;Cs;133;55;14,3264
Ne;21;10;Ge;73;32;Mo;94;42;11,6148;Eu;153;63;O;16;8;Cs*;137;55;17,8148
Ne;22;10;Ge;73;32;Mo;95;42;8,4067;Eu;151;63;F;19;9;Xe;132;54;15,8941
Ne;20;10;Ge;74;32;Mo;94;42;8,2456;Eu;153;63;F;19;9;Xe;134;54;15,8885
Ne;21;10;Ge;74;32;Mo;95;42;8,6433;Eu;151;63;Na;23;11;Te;128;52;23,4243
Ne;22;10;Ge;74;32;Mo;96;42;7,438;Eu;153;63;Na;23;11;Te;130;52;22,7163
Ne;20;10;Ge;76;32;Mo;96;42;8,6182;Eu;151;63;Al;27;13;Sn;124;50;30,6042
Ne;21;10;Ge;76;32;Mo;97;42;8,811;Gd;152;64;Не;4;2;Sm;148;62;2,2048
Ne;22;10;Ge;76;32;Mo;98;42;6,7394;Gd;154;64;Не;4;2;Sm;150;62;1,0312
Mg;25;12;Ge;73;32;Ru;98;44;3,4465;Gd;156;64;Не;4;2;Sm;152;62;0,0065
Mg;24;12;Ge;74;32;Ru;98;44;0,6474;Gd;152;64;B;11;5;Pr;141;59;2,6408
Mg;25;12;Ge;74;32;Ru;99;44;0,8477;Gd;152;64;C;12;6;Ce;140;58;12,7708
Mg;26;12;Ge;74;32;Ru;100;44;0,6716;Gd;154;64;C;12;6;Ce;142;58;10,8799
Mg;24;12;Ge;76;32;Ru;100;44;3,1531;Gd;155;64;C;13;6;Ce;142;58;9,4975
Mg;25;12;Ge;76;32;Ru;101;44;2,869;Gd;152;64;N;14;7;La;138;57;8,8287
Mg;26;12;Ge;76;32;Ru;102;44;0,2152;Gd;154;64;N;15;7;La;139;57;13,5551
D;2;1;Hf;178;72;Ta;180;73;9,736;Gd;152;64;O;18;8;Ba;134;56;14,9598
Н;1;1;Hf;179;72;Ta;180;73;5,8917;Gd;152;64;O;17;8;Ba;135;56;13,8103
D;2;1;Hf;179;72;Ta;181;73;11,3102;Gd;152;64;O;16;8;Ba;136;56;18,8674
Н;1;1;Hf;180;72;Ta;181;73;6,1991;Gd;154;64;O;18;8;Ba;136;56;16,0217
He;3;2;Hf;177;72;W;180;74;11,6716;Gd;154;64;O;17;8;Ba;137;56;14,9281
He;3;2;Hf;179;72;W;182;74;12,836;Gd;155;64;O;18;8;Ba;137;56;16,6458
He;3;2;Hf;180;72;W;183;74;11,6903;Gd;154;64;O;16;8;Ba;138;56;19,3704
Li;7;3;Hf;178;72;Re;185;75;6,3854;Gd;155;64;O;17;8;Ba;138;56;17,1823
Li;6;3;Hf;179;72;Re;185;75;7,5693;Gd;156;64;O;18;8;Ba;138;56;16,7017
Li;7;3;Hf;180;72;Re;187;75;6,3854;Gd;152;64;F;19;9;Cs;133;55;14,9365
Be;9;4;Hf;177;72;Os;186;76;1,6078;Gd;156;64;F;19;9;Cs*;137;55;15,719
Be;9;4;Hf;178;72;Os;187;76;0,0894;Gd;152;64;Ne;22;10;Xe;130;54;22,9474
Be;9;4;Hf;179;72;Os;188;76;2,0828;Gd;152;64;Ne;21;10;Xe;131;54;19,1832
Be;9;4;Hf;180;72;Os;189;76;0,6949;Gd;152;64;Ne;20;10;Xe;132;54;21,3554
D;2;1;Hg;201;80;Tl;203;81;11,258;Gd;154;64;Ne;22;10;Xe;132;54;23,4485
Н;1;1;Hg;202;80;Tl;203;81;5,7045;Gd;154;64;Ne;20;10;Xe;134;54;21,3126
Н;1;1;Hg;204;80;Tl;205;81;6,3761;Gd;155;64;Ne;21;10;Xe;134;54;21,7439
He;3;2;Hg;201;80;Pb;204;82;12,3665;Gd;156;64;Ne;22;10;Xe;134;54;23,5826
He;3;2;Hg;204;80;Pb;207;82;12,6814;Gd;156;64;Ne;20;10;Xe;136;54;20,8999
Li;7;3;Hg;202;80;Bi;209;83;5,792;Gd;157;64;Ne;21;10;Xe;136;54;21,3033
Н;1;1;Ho;165;67;Er;166;68;7,1958;Gd;158;64;Ne;22;10;Xe;136;54;23,7475
D;2;1;Ho;165;67;Er;167;68;11,5058;Gd;152;64;Mg;26;12;Te;126;52;31,3886
Li;6;3;Ho;165;67;Yb;171;70;8,3331;Gd;152;64;Mg;24;12;Te;128;52;27,7352
Li;7;3;Ho;165;67;Yb;172;70;9,0774;Gd;154;64;Mg;26;12;Te;128;52;31,1296
Н;1;1;I;127;53;Xe;128;54;8,0472;Gd;154;64;Mg;24;12;Te;130;52;26,99
D;2;1;I;127;53;Xe;129;54;12,7335;Gd;155;64;Mg;25;12;Te;130;52;27,9914
Li;7;3;I;127;53;Ba;134;56;14,9477;Gd;156;64;Mg;26;12;Te;130;52;30,5614
B;11;5;I;127;53;Ce;138;58;7,3933;Gd;152;64;Si;30;14;Sn;122;50;39,4572
Н;1;1;In;113;49;Sn;114;50;5,724;Gd;152;64;Si;28;14;Sn;124;50;34,8034
D;2;1;In;113;49;Sn;115;50;13,8346;Gd;154;64;Si;30;14;Sn;124;50;38,861
Н;1;1;In;115;49;Sn;116;50;9,1147;Gd;152;64;Ca;48;20;Ru;104;44;57,4145
D;2;1;In;115;49;Sn;117;50;14,0767;Gd;152;64;Ge;76;32;Ge;76;32;71,5481
Li;7;3;In;113;49;Te;120;52;14,6943;Tb;159;65;Ne;22;10;Cs*;137;55;24,9128
Li;7;3;In;115;49;Te;122;52;15,9053;Tb;159;65;Na;23;11;Xe;136;54;26,0408
B;11;5;In;113;49;Xe;124;54;6,9536;Dy;156;66;Не;4;2;Gd;152;64;1,5155
B;11;5;In;115;49;Xe;126;54;8,5753;Dy;158;66;Не;4;2;Gd;154;64;0,5934
Н;1;1;Ir;191;77;Pt;192;78;6,7487;Dy;160;66;Не;4;2;Gd;156;64;0,1183
Н;1;1;Ir;193;77;Pt;194;78;7,7267;Dy;161;66;Не;4;2;Gd;157;64;0,0531
D;2;1;Ir;193;77;Pt;195;78;11,7014;Dy;156;66;C;13;6;Nd;143;60;10,0471
Li;7;3;Ir;191;77;Hg;198;80;9,3662;Dy;156;66;C;12;6;Nd;144;60;12,9105
Li;6;3;Ir;193;77;Hg;199;80;9,4547;Dy;158;66;C;13;6;Nd;145;60;7,8674
Li;7;3;Ir;193;77;Hg;200;80;10,1915;Dy;158;66;C;12;6;Nd;146;60;10,4979
Н;1;1;K;39;19;Ca;40;20;8,3369;Dy;160;66;C;12;6;Nd;148;60;7,778
D;2;1;K;40;19;Ca;42;20;18,1474;Dy;161;66;C;13;6;Nd;148;60;6,3025
Н;1;1;K;41;19;Ca;42;20;10,2762;Dy;162;66;C;12;6;Nd;150;60;5,3654
D;2;1;K;41;19;Ca;43;20;15,9816;Dy;163;66;C;13;6;Nd;150;60;4,011
Не;4;2;K;41;19;Sc;45;21;7,9354;Dy;156;66;N;15;7;Pr;141;59;15,148
Li;7;3;K;39;19;Ti;46;22;25,2304;Dy;156;66;O;18;8;Ce;138;58;17,5866
Li;6;3;K;40;19;Ti;46;22;24,6855;Dy;156;66;O;16;8;Ce;140;58;21,4477
Li;7;3;K;40;19;Ti;47;22;26,3194;Dy;158;66;O;18;8;Ce;140;58;17,6798
Li;6;3;K;41;19;Ti;47;22;23,4764;Dy;158;66;O;16;8;Ce;142;58;18,6345
Li;7;3;K;41;19;Ti;48;22;27,8442;Dy;160;66;O;18;8;Ce;142;58;15,4907
Be;9;4;K;41;19;V;50;23;25,0162;Dy;158;66;F;19;9;La;139;57;18,1595
B;11;5;K;39;19;Cr;50;24;25,1205;Dy;156;66;Ne;22;10;Ba;134;56;26,1424
B;10;5;K;40;19;Cr;50;24;28,7794;Dy;156;66;Ne;21;10;Ba;135;56;22,6735
B;11;5;K;41;19;Cr;52;24;28,5279;Dy;156;66;Ne;20;10;Ba;136;56;25,1112
N;15;7;K;39;19;Fe;54;26;22,5431;Dy;158;66;Ne;22;10;Ba;136;56;26,2821
N;14;7;K;40;19;Fe;54;26;25,7363;Dy;158;66;Ne;21;10;Ba;137;56;22,8691
N;15;7;K;41;19;Fe;56;26;25,1606;Dy;158;66;Ne;20;10;Ba;138;56;24,692
O;18;8;K;41;19;Co;59;27;25,9002;Dy;160;66;Ne;22;10;Ba;138;56;26,487
F;19;9;K;39;19;Ni;58;28;24,9426;Dy;156;66;Na;23;11;Cs;133;55;26,9174
F;19;9;K;41;19;Ni;60;28;27,439;Dy;160;66;Na;23;11;Cs*;137;55;26,3026
Ne;22;10;K;41;19;Cu;63;29;22,0065;Dy;156;66;Mg;26;12;Xe;130;54;35,0791
Na;23;11;K;41;19;Zn;64;30;20,9242;Dy;156;66;Mg;25;12;Xe;131;54;30,5837
Cl;37;17;K;41;19;Kr;78;36;6,8586;Dy;156;66;Mg;24;12;Xe;132;54;32,1859
D;2;1;Kr;83;36;Rb;85;37;15,3911;Dy;158;66;Mg;26;12;Xe;132;54;34,6581
Н;1;1;Kr;84;36;Rb;85;37;7,0971;Dy;158;66;Mg;24;12;Xe;134;54;31,2209
Н;1;1;Kr;86;36;Rb;87;37;8,6275;Dy;160;66;Mg;26;12;Xe;134;54;34,3172
Не;4;2;Kr;80;36;Sr;84;38;5,2257;Dy;160;66;Mg;24;12;Xe;136;54;30,3332
Не;4;2;Kr;82;36;Sr;86;38;6,3584;Dy;161;66;Mg;25;12;Xe;136;54;31,2414
He;3;2;Kr;83;36;Sr;86;38;19,4692;Dy;162;66;Mg;26;12;Xe;136;54;34,1467
Не;4;2;Kr;83;36;Sr;87;38;7,3066;Dy;156;66;Si;30;14;Te;126;52;43,5539
He;3;2;Kr;84;36;Sr;87;38;17,3668;Dy;156;66;Si;28;14;Te;128;52;39,2373
Не;4;2;Kr;84;36;Sr;88;38;7,9149;Dy;158;66;Si;30;14;Te;128;52;42,3727
Не;4;2;Kr;86;36;Sr*;90;38;5,4865;Dy;158;66;Si;28;14;Te;130;52;37,57
Li;7;3;Kr;82;36;Y;89;39;22,4099;Dy;160;66;Si;30;14;Te;130;52;41,3295
Li;6;3;Kr;83;36;Y;89;39;22,1947;Dy;156;66;S;34;16;Sn;122;50;48,8895
Be;9;4;Kr;82;36;Zr;91;40;19,0202;Dy;156;66;S;32;16;Sn;124;50;43,2642
Be;9;4;Kr;83;36;Zr;92;40;20,2386;Dy;158;66;S;34;16;Sn;124;50;47,3711
B;11;5;Kr;82;36;Nb;93;41;15,6193;Dy;156;66;Ar;40;18;Cd;116;48;52,5046
B;10;5;Kr;83;36;Nb;93;41;19,608;Dy;156;66;Ca;48;20;Pd;108;46;62,8544
C;12;6;Kr;80;36;Mo;92;42;9,4016;Dy;156;66;Ca;46;20;Pd;110;46;61,079
C;12;6;Kr;82;36;Mo;94;42;8,1441;Dy;158;66;Ca;48;20;Pd;110;46;62,5005
C;13;6;Kr;82;36;Mo;95;42;10,3554;Dy;156;66;Zn;70;30;Kr;86;36;81,7805
C;12;6;Kr;83;36;Mo;95;42;7,8348;Dy;156;66;Ge;76;32;Se;80;34;80,0042
C;13;6;Kr;83;36;Mo;96;42;12,0489;Ho;165;67;N;15;7;Nd;150;60;8,8324
C;12;6;Kr;84;36;Mo;96;42;6,4776;Er;162;68;Не;4;2;Dy;158;66;2,0838
C;13;6;Kr;84;36;Mo;97;42;8,484;Er;164;68;Не;4;2;Dy;160;66;1,7391
C;12;6;Kr;86;36;Mo;98;42;4,7571;Er;166;68;Не;4;2;Dy;162;66;1,2361
O;18;8;Kr;78;36;Ru;96;44;11,1109;Er;167;68;Не;4;2;Dy;163;66;1,0032
